image,labels
frames/train/leaf_2_7221.jpg, 2
frames/train/leaf_2_7722.jpg, 2
frames/train/leaf_2_7310.jpg, 2
frames/train/leaf_1_4676.jpg, 1
frames/train/leaf_2_7916.jpg, 2
frames/train/leaf_0_1283.jpg, 0
frames/train/leaf_0_342.jpg, 0
frames/train/leaf_0_1412.jpg, 0
frames/train/leaf_0_223.jpg, 0
frames/train/leaf_1_4553.jpg, 1
frames/train/leaf_0_1697.jpg, 0
frames/train/leaf_0_1177.jpg, 0
frames/train/leaf_0_233.jpg, 0
frames/train/leaf_2_7692.jpg, 2
frames/train/leaf_0_1031.jpg, 0
frames/train/leaf_0_1374.jpg, 0
frames/train/leaf_1_5033.jpg, 1
frames/train/leaf_0_1141.jpg, 0
frames/train/leaf_0_945.jpg, 0
frames/train/leaf_0_2114.jpg, 0
frames/train/leaf_0_1963.jpg, 0
frames/train/leaf_2_7363.jpg, 2
frames/train/leaf_1_3771.jpg, 1
frames/train/leaf_1_5056.jpg, 1
frames/train/leaf_0_1052.jpg, 0
frames/train/leaf_0_1486.jpg, 0
frames/train/leaf_2_8470.jpg, 2
frames/train/leaf_1_5038.jpg, 1
frames/train/leaf_2_8673.jpg, 2
frames/train/leaf_0_1573.jpg, 0
frames/train/leaf_0_119.jpg, 0
frames/train/leaf_1_5638.jpg, 1
frames/train/leaf_1_4642.jpg, 1
frames/train/leaf_0_716.jpg, 0
frames/train/leaf_0_1662.jpg, 0
frames/train/leaf_1_3947.jpg, 1
frames/train/leaf_2_7978.jpg, 2
frames/train/leaf_2_7290.jpg, 2
frames/train/leaf_2_8977.jpg, 2
frames/train/leaf_2_7232.jpg, 2
frames/train/leaf_0_1576.jpg, 0
frames/train/leaf_2_7832.jpg, 2
frames/train/leaf_2_9243.jpg, 2
frames/train/leaf_1_4704.jpg, 1
frames/train/leaf_2_8867.jpg, 2
frames/train/leaf_0_358.jpg, 0
frames/train/leaf_2_9026.jpg, 2
frames/train/leaf_2_8363.jpg, 2
frames/train/leaf_1_4871.jpg, 1
frames/train/leaf_0_1222.jpg, 0
frames/train/leaf_2_8404.jpg, 2
frames/train/leaf_2_7979.jpg, 2
frames/train/leaf_2_9028.jpg, 2
frames/train/leaf_1_5102.jpg, 1
frames/train/leaf_0_1437.jpg, 0
frames/train/leaf_0_1409.jpg, 0
frames/train/leaf_1_5220.jpg, 1
frames/train/leaf_1_3802.jpg, 1
frames/train/leaf_2_7676.jpg, 2
frames/train/leaf_1_5141.jpg, 1
frames/train/leaf_2_9039.jpg, 2
frames/train/leaf_2_8477.jpg, 2
frames/train/leaf_2_8568.jpg, 2
frames/train/leaf_1_4038.jpg, 1
frames/train/leaf_0_183.jpg, 0
frames/train/leaf_2_8364.jpg, 2
frames/train/leaf_0_857.jpg, 0
frames/train/leaf_2_9144.jpg, 2
frames/train/leaf_2_8910.jpg, 2
frames/train/leaf_2_9087.jpg, 2
frames/train/leaf_0_1335.jpg, 0
frames/train/leaf_2_9310.jpg, 2
frames/train/leaf_0_1899.jpg, 0
frames/train/leaf_1_5194.jpg, 1
frames/train/leaf_2_8277.jpg, 2
frames/train/leaf_1_4558.jpg, 1
frames/train/leaf_2_7525.jpg, 2
frames/train/leaf_2_7729.jpg, 2
frames/train/leaf_0_687.jpg, 0
frames/train/leaf_1_4499.jpg, 1
frames/train/leaf_0_205.jpg, 0
frames/train/leaf_1_4575.jpg, 1
frames/train/leaf_0_1934.jpg, 0
frames/train/leaf_0_988.jpg, 0
