image,labels
external_dataset/Mango/0012_0140.JPG, 2
external_dataset/Melograno/0009_0257.JPG, 1
external_dataset/Melograno/0020_0073.JPG, 1
external_dataset/Melograno/0009_0163.JPG, 1
external_dataset/Limone/0021_0033.JPG, 0
external_dataset/Melograno/0009_0287.JPG, 1
external_dataset/Mango/0001_0098.JPG, 2
external_dataset/Melograno/0009_0070.JPG, 1
external_dataset/Limone/0021_0046.JPG, 0
external_dataset/Mango/0012_0153.JPG, 2
external_dataset/Melograno/0009_0102.JPG, 1
external_dataset/Melograno/0020_0226.JPG, 1
external_dataset/Melograno/0020_0177.JPG, 1
external_dataset/Melograno/0020_0197.JPG, 1
external_dataset/Melograno/0020_0055.JPG, 1
external_dataset/Mango/0012_0007.JPG, 2
external_dataset/Mango/0012_0252.JPG, 2
external_dataset/Limone/0010_0012.JPG, 0
external_dataset/Melograno/0020_0086.JPG, 1
external_dataset/Melograno/0020_0264.JPG, 1
external_dataset/Melograno/0009_0049.JPG, 1
external_dataset/Limone/0010_0063.JPG, 0
external_dataset/Limone/0021_0068.JPG, 0
external_dataset/Melograno/0009_0003.JPG, 1
external_dataset/Melograno/0020_0065.JPG, 1
external_dataset/Limone/0010_0031.JPG, 0
external_dataset/Melograno/0009_0277.JPG, 1
external_dataset/Limone/0010_0114.JPG, 0
external_dataset/Limone/0021_0005.JPG, 0
external_dataset/Mango/0001_0143.JPG, 2
external_dataset/Melograno/0020_0068.JPG, 1
external_dataset/Melograno/0020_0128.JPG, 1
external_dataset/Mango/0012_0232.JPG, 2
external_dataset/Mango/0001_0007.JPG, 2
external_dataset/Mango/0001_0014.JPG, 2
external_dataset/Melograno/0009_0166.JPG, 1
external_dataset/Melograno/0020_0214.JPG, 1
external_dataset/Melograno/0020_0102.JPG, 1
external_dataset/Melograno/0009_0152.JPG, 1
external_dataset/Mango/0012_0207.JPG, 2
external_dataset/Melograno/0020_0080.JPG, 1
external_dataset/Melograno/0020_0067.JPG, 1
external_dataset/Melograno/0020_0047.JPG, 1
external_dataset/Mango/0001_0090.JPG, 2
